license_id,source_system,callsign,facility_id,frn,lic_name,common_name,radio_service_code,radio_service_desc,rollup_category_code,rollup_category_desc,grant_date,expired_date,cancellation_date,last_action_date,lic_status_code,lic_status_desc,rollup_status_code,rollup_status_desc,entity_type_code,entity_type_desc,rollup_entity_code,rollup_entity_desc,lic_address,lic_city,lic_state,lic_zip_code,lic_attention_line,contact_company,contact_name,contact_title,contact_address1,contact_address2,contact_city,contact_state,contact_zip,contact_country,contact_phone,contact_fax,contact_email,market_code,market_desc,channel_block,loc_type_code,loc_type_desc,loc_city,loc_county_code,loc_county_name,loc_state,loc_radius_op,loc_seq_id,loc_lat_deg,loc_lat_min,loc_lat_sec,loc_lat_dir,loc_long_deg,loc_long_min,loc_long_sec,loc_long_dir,hgt_structure,asr_num,antenna_id,ant_seq_id,ant_make,ant_model,ant_type_code,ant_type_desc,azimuth,beamwidth,polarization_code,frequency_id,freq_seq_id,freq_class_station_code,freq_class_station_desc,power_erp,power_output,frequency_assigned,frequency_upper_band,unit_of_measure,tolerance,emission_id,emission_seq_id,emission_code,ground_elevation,lat,long,geom
3000072600,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2016-06-16,2016-06-16,,2016-06-16,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",,,,,,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,134388,32,22,0,N,84,48,20,W,,,3000134388,134388,,,Y,Directional,,,,3000554456,554456,MO,,5.012,,746,756,MHz.,1e-05,3000902745,902745,10M0W7W,,,-84.805555556,
3000072700,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2016-09-01,2016-06-07,,2016-06-07,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",Richard Aronson,11840 West Market Place,Fulton,MD,20759,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,134666,32,22,0,N,84,48,20,W,,,3000134666,134666,,,Y,Directional,,,,3000555033,555033,MO,,1,,777,787,MHz.,1e-05,3000904012,904012,10M0W7W,,,-84.805555556,
3000076137,ELS,WG2XAW,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2017-04-26,2017-04-26,,2017-04-26,E,Unknown,E,Expired,C,Corporation,B,Business,"Doron Maizlin, 8955 Henkels Ln",Annapolis Junction,MD,20701,,,Doron Maizlin,Engineering Manager,,,,,,XX,,,,,,,,,Tucson,PIMA,PIMA,AZ,,144147,32,10,0,N,110,54,52,W,,,3000144147,144147,,,N,Non-Directional,,,,3000589828,589828,FX,,384.7,,10250,10500,MHz.,0.005,3000964393,964393,50M0F3N,,,-110.914444444,
3000062434,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2014-08-29,2014-08-29,,2014-08-29,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",,,,,,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,105410,32,22,0,N,84,48,20,W,,,3000105410,105410,,,Y,Directional,,,,3000450675,450675,MO,,1,,777,787,MHz.,1e-05,3000727639,727639,10M0W7W,,,-84.805555556,
3000072600,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2016-06-16,2016-06-16,,2016-06-16,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",,,,,,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,134388,32,22,0,N,84,48,20,W,,,3000134388,134388,,,Y,Directional,,,,3000554454,554454,MO,,39.811,,734,746,MHz.,1e-05,3000902743,902743,10M0W7W,,,-84.805555556,
3000074947,ELS,WG2XAW,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2016-11-28,2016-11-28,,2016-11-28,E,Unknown,E,Expired,C,Corporation,B,Business,"Doron Maizlin, 8955 Henkels Ln",Annapolis Junction,MD,20701,,,Doron Maizlin,Engineering Manager,,,,,,XX,,,,,,,,,Tucson,PIMA,PIMA,AZ,,140508,32,10,0,N,110,54,52,W,,,3000140508,140508,,,N,Non-Directional,,,,3000577971,577971,FX,,384.7,,10250,10500,MHz.,0.005,3000940436,940436,50M0F3N,,,-110.914444444,
3000072700,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2016-09-01,2016-06-07,,2016-06-07,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",Richard Aronson,11840 West Market Place,Fulton,MD,20759,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,134666,32,22,0,N,84,48,20,W,,,3000134666,134666,,,Y,Directional,,,,3000555030,555030,MO,,1,,704,716,MHz.,1e-05,3000904009,904009,10M0W7W,,,-84.805555556,
3000062434,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2014-08-29,2014-08-29,,2014-08-29,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",,,,,,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,105410,32,22,0,N,84,48,20,W,,,3000105410,105410,,,Y,Directional,,,,3000449464,449464,MO,,5.012,,734,746,MHz.,1e-05,3000725850,725850,10M0W7W,,,-84.805555556,
3000062434,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2014-08-29,2014-08-29,,2014-08-29,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",,,,,,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,105410,32,22,0,N,84,48,20,W,,,3000105410,105410,,,Y,Directional,,,,3000449466,449466,MO,,39.811,,734,746,MHz.,1e-05,3000725851,725851,10M0W7W,,,-84.805555556,
3000062434,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2014-08-29,2014-08-29,,2014-08-29,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",,,,,,XX,,,,,,,,,Cusseta,CHATTAHOOCHEE,CHATTAHOOCHEE,GA,20,105410,32,22,0,N,84,48,20,W,,,3000105410,105410,,,Y,Directional,,,,3000449316,449316,MO,,1,,704,716,MHz.,1e-05,3000725849,725849,10M0W7W,,,-84.805555556,
3000068441,ELS,WH2XNE,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2015-11-12,2015-11-12,,2015-11-12,E,Unknown,E,Expired,C,Corporation,B,Business,"Doron Maizlin, 11840 West Market Place",Fulton,MD,20759,,,Doron Maizlin,Engineering Manager,,,,,,XX,,,,,,,,,Lawton,COMANCHE,COMANCHE,OK,,122174,34,38,23,N,98,23,43,W,,,3000122174,122174,,,N,Non-Directional,,,,3000511563,511563,FX,,40.3,,10550,10600,MHz.,0.01,3000834443,834443,66M6Q0N,,34.639722222,-98.395277778,0101000020E61000001D562A3B4C9958C0DA01F36AE2514140
3000066237,ELS,WH2XNE,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2015-05-29,2015-05-29,,2015-05-29,E,Unknown,E,Expired,C,Corporation,B,Business,"Doron Maizlin, 11840 West Market Place",Fulton,MD,20759,,,Doron Maizlin,Engineering Manager,,,,,,XX,,,,,,,,,Lawton,COMANCHE,COMANCHE,OK,,115919,34,38,23,N,98,23,43,W,,,3000115919,115919,,,N,Non-Directional,,,,3000487312,487312,FX,,40.3,,9800,9975,MHz.,0.01,3000794906,794906,66M6P0N,,34.639722222,-98.395277778,0101000020E61000001D562A3B4C9958C0DA01F36AE2514140
3000066735,ELS,WH2XNE,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2015-06-16,2015-06-16,,2015-06-16,E,Unknown,E,Expired,C,Corporation,B,Business,"Doron Maizlin, 11840 West Market Place",Fulton,MD,20759,,,Doron Maizlin,Engineering Manager,,,,,,XX,,,,,,,,,Bowling Green,CAROLINE,CAROLINE,VA,,117175,38,4,16,N,77,19,3,W,,,3000117175,117175,,,N,Non-Directional,,,,3000493543,493543,FX,,40.3,,9800,9975,MHz.,0.01,3000805414,805414,66M6Q0N,,38.071111111,-77.3175,0101000020E6100000B81E85EB515453C049103C2B1A094340
3000068441,ELS,WH2XNE,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2015-11-12,2015-11-12,,2015-11-12,E,Unknown,E,Expired,C,Corporation,B,Business,"Doron Maizlin, 11840 West Market Place",Fulton,MD,20759,,,Doron Maizlin,Engineering Manager,,,,,,XX,,,,,,,,,El Centro,IMPERIAL,IMPERIAL,CA,,122802,32,40,7,N,115,41,30,W,,,3000122802,122802,,,N,Non-Directional,,,,3000513358,513358,FX,,40.3,,9800,9975,MHz.,0.01,3000836984,836984,66M6P0N,,32.668611111,-115.691666667,0101000020E6100000E59F444444EC5CC05DBE830C95554040
3000071180,ELS,WH2XNE,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2016-04-20,2016-04-20,,2016-04-20,E,Unknown,E,Expired,C,Corporation,B,Business,"Doron Maizlin, 11840 West Market Place",Fulton,MD,20759,,,Doron Maizlin,Engineering Manager,,,,,,XX,,,,,,,,,Raeford,HOKE,HOKE,NC,,130222,35,1,11,N,79,11,28,W,,,3000130222,130222,,,N,Non-Directional,,,,3000538532,538532,FX,,40.3,,10550,10600,MHz.,0.01,3000875918,875918,66M6P0N,,35.019722222,-79.191111111,0101000020E61000006CE9182A3BCC53C04A3FFD4186824140
3000062434,ELS,WH2XJZ,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2014-08-29,2014-08-29,,2014-08-29,E,Unknown,E,Expired,C,Corporation,B,Business,"Richard Aronson, 11840 West Market Place",Fulton,MD,20759,,,Richard Aronson,"Manager, Advanced Programs",,,,,,XX,,,,,,,,,Fulton,HOWARD,HOWARD,MD,10,105501,39,9,9,N,76,54,34,W,,,3000105501,105501,,,Y,Directional,,,,3000450679,450679,MO,,5.012,,734,746,MHz.,1e-05,3000727643,727643,10M0W7W,,39.1525,-76.909444444,0101000020E610000092207856343A53C0EC51B81E85934340
3000066819,ELS,WH2XWW,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2015-07-06,2015-07-06,,2015-07-06,E,Unknown,E,Expired,C,Corporation,B,Business,"Doron Maizlin, 11840 West Market Place",Fulton,MD,20759,,,Doron Maizlin,Engineering Manager,,,,,,XX,,,,,,,,,Kingwood,PRESTON,PRESTON,WV,,117392,39,26,43,N,79,40,12,W,,,3000117392,117392,,,N,Non-Directional,,,,3000494846,494846,FX,,50.8,,10550,10600,MHz.,0.01,3000807723,807723,21M3P0N,,39.445277778,-79.67,0101000020E61000007B14AE47E1EA53C0A112BBDCFEB84340
3000067304,ELS,WH2XNE,,0021371521,ELTA North America,,XT,Experimental Testing,Experimental,Experimental,2015-08-20,2015-08-20,,2015-08-20,E,Unknown,E,Expired,C,Corporation,B,Business,"Doron Maizlin, 11840 West Market Place",Fulton,MD,20759,,,Doron Maizlin,Engineering Manager,,,,,,XX,,,,,,,,,Hattiesburg,PERRY,PERRY,MS,,118819,31,11,16,N,89,11,57,W,,,3000118819,118819,,,N,Non-Directional,,,,3000499667,499667,FX,,40.3,,9800,9975,MHz.,0.01,3000814928,814928,66M6Q0N,,31.187777778,-89.199166667,0101000020E6100000F94D8C25BF4C56C0F16C573412303F40
